id,nombre,unidad_aca,sede,dirreccion,barrio,comuna,telefono,fax,web,geometry
23,Instituto Universitario Naval,Escuela Nacional de Náutica,,"Rivadavia Martin, Comodoro 1231",Nuñez,Comuna 13,4704-9570 /9546,4704-9570,www.inun.edu.ar,POINT (-58.460639298497256 -34.53889310588287)
24,Instituto Universitario Naval,Escuela de Ciencias del Mar,,"Montes De Oca, Manuel Av. 2124",Barracas,Comuna 4,4303-2299/4301-9809,4301-9809,www.inun.edu.ar   www.hidro.gov.ar,POINT (-58.37132440289732 -34.65136911287914)
25,Instituto Universitario Naval,Rectorado,,"Py, Comodoro Av. 2055, Piso 10",Retiro,Comuna 1,4317-2000,4317-2000,www.inun.edu.ar,POINT (-58.36754362926427 -34.58755343676688)
26,Pontificia Universidad Católica Argentina,Facultad de Artes y Ciencias Musicales - Facultad de Ciencias Físicomatemáticas e Ingeniería - Facultad de Ciencias Médicas - Facultad de Derecho Canónico - Facultad de Filosofía y Letras,,"Moreau De Justo, Alicia Av. 1500, Edificio San Alberto Magno",Puerto Madero,Comuna 1,4349-0200/0419/20,4349-0402,www.uca.edu.ar,POINT (-58.36590073166517 -34.61571856882201)
27,Pontificia Universidad Católica Argentina,Rectorado,,"Moreau De Justo, Alicia Av. 1300, Edificio Santa María de los Buenos Aires",Puerto Madero,Comuna 1,4349-0251/4349-0200/43380600,4349-0273,www.uca.edu.ar,POINT (-58.36620667256202 -34.61315309716365)
28,Pontificia Universidad Católica Argentina,Facultad de Teología,,Concordia 4422,Villa Devoto,Comuna 11,4501-6428/6748,4501-6748,www.uca.edu.ar,POINT (-58.50829586202066 -34.593291295070436)
29,Pontificia Universidad Católica Argentina,Facultad de Ciencias Sociales y Económicas - Facultad de Derecho - Facultad de Psicología y Psicopedagogía - Instituto de Ciencias Políticas y Relaciones Internacionales,,"Moreau De Justo, Alicia Av. 1400, Edificio Santo Tomás Moro",Puerto Madero,Comuna 1,4349-0200,4349-0223,www.uca.edu.ar,POINT (-58.36604850225858 -34.61445785803402)
30,Pontificia Universidad Católica Argentina,Facultad de Ciencias Agrarias,,"Freire, Ramon, Cap. Gral. 183",Colegiales,Comuna 13,4552-2711/2721/2724,4552-2711,www.uca.edu.ar,POINT (-58.444582959093765 -34.57931134480373)
31,Universidad Abierta Interamericana,,Localización Centro,San Juan Av. 983,Constitucion,Comuna 1,4300-2147,4362-5028,www.uai.edu.ar,POINT (-58.37966350063162 -34.62204319815122)
32,Universidad Abierta Interamericana,,Localización Almagro,Estado De Palestina 748,Almagro,Comuna 5,4862-9179/4865-8796,4867-4216,www.uai.edu.ar,POINT (-58.42558943710875 -34.6019675832976)
